claim_id,location,statement,expected_value,tolerance
k-01,06-evaluation.typ:98 (@sec:evaluation-kafka sweep results),Kafka 50-seed sweep pass/fail split,13 of 50 pass / 37 of 50 fail,exact
k-02,06-evaluation.typ:98 (@sec:evaluation-kafka),All 37 failures concentrated in single check kafka-large-message-on-kafka1 (other 10 checks already passed whenever reached),37 failures all in kafka-large-message-on-kafka1,exact
k-03,06-evaluation.typ:103-106 (@tab:kafka-classes),Kafka failure-class counts over 50 seeds,message.max.bytes too small: 18 (RecordTooLargeException); log.segment.bytes too small: 19 (RecordBatchTooLargeException); Pass: 13,exact
k-04,06-evaluation.typ:118 (@tab:kafka-crosstab),Crosstab cell (message.max.bytes=1MiB,replica.fetch.max.bytes=1MiB,log.segment.bytes=1MiB): pass/broker-max/log-segment,0/3/0,exact
k-05,06-evaluation.typ:119 (@tab:kafka-crosstab),Crosstab cell (1MiB,1MiB,16MiB): pass/broker-max/log-segment,0/3/0,exact
k-06,06-evaluation.typ:120 (@tab:kafka-crosstab),Crosstab cell (1MiB,2MiB,1MiB): pass/broker-max/log-segment,0/3/0,exact
k-07,06-evaluation.typ:121 (@tab:kafka-crosstab),Crosstab cell (1MiB,2MiB,16MiB): pass/broker-max/log-segment,0/2/0,exact
k-08,06-evaluation.typ:122 (@tab:kafka-crosstab),Crosstab cell (1MiB,4MiB,1MiB): pass/broker-max/log-segment,0/5/0,exact
k-09,06-evaluation.typ:123 (@tab:kafka-crosstab),Crosstab cell (1MiB,4MiB,16MiB): pass/broker-max/log-segment,0/2/0,exact
k-10,06-evaluation.typ:124 (@tab:kafka-crosstab),Crosstab cell (2MiB,1MiB,1MiB): pass/broker-max/log-segment,0/0/4,exact
k-11,06-evaluation.typ:125 (@tab:kafka-crosstab),Crosstab cell (2MiB,1MiB,16MiB): pass/broker-max/log-segment,2/0/0,exact
k-12,06-evaluation.typ:126 (@tab:kafka-crosstab),Crosstab cell (2MiB,2MiB,1MiB): pass/broker-max/log-segment,0/0/4,exact
k-13,06-evaluation.typ:127 (@tab:kafka-crosstab),Crosstab cell (2MiB,2MiB,16MiB): pass/broker-max/log-segment,4/0/0,exact
